Date,1thFFundDiff,2thFFundDiff,3thFFundDiff,4thFFundDiff,5thFFundDiff,6thFFundDiff,7thFFundDiff
20210804,-3600711740,-22015014415,19137651716,-17659102876,23968208757,939099728,10619320741
20210805,-22015014415,19137651716,-17659102876,23968208757,939099728,10619320741,4378180907
20210806,19137651716,-17659102876,23968208757,939099728,10619320741,4378180907,-8531763839
20210809,-17659102876,23968208757,939099728,10619320741,4378180907,-8531763839,-7351893666
20210810,23968208757,939099728,10619320741,4378180907,-8531763839,-7351893666,-6415486630
20210811,939099728,10619320741,4378180907,-8531763839,-7351893666,-6415486630,6414476618
20210812,10619320741,4378180907,-8531763839,-7351893666,-6415486630,6414476618,4522971487
20210813,4378180907,-8531763839,-7351893666,-6415486630,6414476618,4522971487,-23681902702
20210816,-8531763839,-7351893666,-6415486630,6414476618,4522971487,-23681902702,4752239728
20210817,-7351893666,-6415486630,6414476618,4522971487,-23681902702,4752239728,-8801708931
20210818,-6415486630,6414476618,4522971487,-23681902702,4752239728,-8801708931,-2235426527
20210819,6414476618,4522971487,-23681902702,4752239728,-8801708931,-2235426527,-50147746679
20210820,4522971487,-23681902702,4752239728,-8801708931,-2235426527,-50147746679,-14513253051
20210823,-23681902702,4752239728,-8801708931,-2235426527,-50147746679,-14513253051,14202477654
20210825,4752239728,-8801708931,-2235426527,-50147746679,-14513253051,14202477654,16743751667
20210826,-8801708931,-2235426527,-50147746679,-14513253051,14202477654,16743751667,-15911794493
20210827,-2235426527,-50147746679,-14513253051,14202477654,16743751667,-15911794493,18233069953
20210830,-50147746679,-14513253051,14202477654,16743751667,-15911794493,18233069953,21233236133
20210831,-14513253051,14202477654,16743751667,-15911794493,18233069953,21233236133,24261185709
20210901,14202477654,16743751667,-15911794493,18233069953,21233236133,24261185709,14574378490
20210902,16743751667,-15911794493,18233069953,21233236133,24261185709,14574378490,-2401534740
